type,pts,pos,tm,opp,id,q,init
1f1,0,2,UTA,DEN,20111228UTADEN,q2,1
1f1,2,1,DEN,UTA,20111228UTADEN,q2,0
2f1,2,2,DEN,UTA,20111228UTADEN,q3,1
2f1,0,2,UTA,DEN,20111228UTADEN,q3,0
1f1,2,2,WAS,ATL,20111228WASATL,q1,1
1f1,2,1,ATL,WAS,20111228WASATL,q1,0
1f1,2,1,ATL,WAS,20111228WASATL,q2,1
1f1,0,1,WAS,ATL,20111228WASATL,q2,0
2f1,2,1,WAS,ATL,20111228WASATL,q3,1
2f1,3,1,ATL,WAS,20111228WASATL,q3,0
1f1,0,3,CHI,SAC,20111229CHISAC,q1,1
1f1,4,2,SAC,CHI,20111229CHISAC,q1,0
1f1,4,2,SAC,CHI,20111229CHISAC,q2,1
1f1,1,2,CHI,SAC,20111229CHISAC,q2,0
2f1,0,2,SAC,CHI,20111229CHISAC,q3,1
2f1,0,2,CHI,SAC,20111229CHISAC,q3,0
1f1,3,2,DAL,OKC,20111229DALOKC,q1,1
1f1,1,2,OKC,DAL,20111229DALOKC,q1,0
1f1,4,2,DAL,OKC,20111229DALOKC,q2,1
1f1,2,1,OKC,DAL,20111229DALOKC,q2,0
2f1,3,2,OKC,DAL,20111229DALOKC,q3,1
2f1,0,1,DAL,OKC,20111229DALOKC,q3,0
2f1,0,2,DEN,POR,20111229DENPOR,q1,1
2f1,0,2,POR,DEN,20111229DENPOR,q1,0
2f1,4,2,DEN,POR,20111229DENPOR,q2,1
2f1,0,2,POR,DEN,20111229DENPOR,q2,0
2f1,4,2,DEN,POR,20111229DENPOR,q3,1
2f1,0,2,POR,DEN,20111229DENPOR,q3,0
1f1,2,1,ORL,NJN,20111229NJNORL,q1,1
1f1,0,1,NJN,ORL,20111229NJNORL,q1,0
2f1,3,2,NJN,ORL,20111229NJNORL,q2,1
2f1,0,2,ORL,NJN,20111229NJNORL,q2,0
2f1,2,2,NJN,ORL,20111229NJNORL,q3,1
2f1,0,1,ORL,NJN,20111229NJNORL,q3,0
1f1,0,1,LAL,NYK,20111229NYKLAL,q1,1
1f1,0,1,NYK,LAL,20111229NYKLAL,q1,0
1f1,2,2,LAL,NYK,20111229NYKLAL,q2,1
1f1,2,1,NYK,LAL,20111229NYKLAL,q2,0
1f1,0,2,LAL,NYK,20111229NYKLAL,q3,1
1f1,3,1,NYK,LAL,20111229NYKLAL,q3,0
2f1,2,2,HOU,SAS,20111229SASHOU,q1,1
2f1,2,2,SAS,HOU,20111229SASHOU,q1,0
2f1,0,2,SAS,HOU,20111229SASHOU,q2,1
2f1,2,2,HOU,SAS,20111229SASHOU,q2,0
2f1,0,1,HOU,SAS,20111229SASHOU,q3,1
2f1,0,1,SAS,HOU,20111229SASHOU,q3,0
2f1,1,1,LAC,CHI,20111230CHILAC,q1,1
2f1,2,1,CHI,LAC,20111230CHILAC,q1,0
2f1,0,2,LAC,CHI,20111230CHILAC,q2,1
2f1,2,1,CHI,LAC,20111230CHILAC,q2,0
1f1,0,1,CHI,LAC,20111230CHILAC,q3,1
1f1,0,1,LAC,CHI,20111230CHILAC,q3,0
2f1,2,2,CLE,IND,20111230CLEIND,q1,1
2f1,0,1,IND,CLE,20111230CLEIND,q1,0
2f1,0,2,CLE,IND,20111230CLEIND,q2,1
2f1,2,1,IND,CLE,20111230CLEIND,q2,0
2f1,0,2,CLE,IND,20111230CLEIND,q3,1
